prod_cd,prod_nm,prod_dept_cd,prod_dept,maintain_dt,upd_dt,upd_tm
1010010,招联员工贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1020030,芝麻差异化客源产品,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1040020,服务窗活动免息,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
D01,预借现金,PROD1,产品一部,2015-4-20 0:00,2016-1-18 0:00,170413
T01,分期交易,PROD1,产品一部,2015-4-20 0:00,2016-1-18 0:00,170413
WXY,微信用 ,PROD1,产品一部,2015-5-15 0:00,2016-1-18 0:00,170413
1010,员工贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010030,招银科技员工贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010090,招联员工贷-周周借,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010100,联通员工贷-周周借,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1030010,土巴兔装修贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1030020,支付宝服务窗,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1040,服务窗活动66折,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1050,教育贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
P1OTHER,一部其它,PROD1,产品一部,2015-4-20 0:00,2016-1-18 0:00,170413
PBT,手机白条 ,PROD1,产品一部,2015-5-15 0:00,2016-1-18 0:00,170413
1010040,泛员工贷-S级,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010060,泛员工贷-B级,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010070,泛员工贷-C级,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1020,客源产品,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1020020,自雇提现产品,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1030,合作方,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1040010,服务窗活动66折,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
ITSCNYA02,零零花 ,PROD1,产品一部,2015-5-15 0:00,2016-1-18 0:00,170413
P2OTHER,二部其它,PROD2,产品二部,2015-4-20 0:00,2016-1-18 0:00,170413
1010020,联通员工贷,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010050,泛员工贷-A级,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1010080,泛员工贷-S级-周周借,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1020010,受雇提现产品,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1030030,联通集客,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
1050010,美联英语,PROD2,产品二部,2015-12-14 0:00,2016-1-18 0:00,170413
PMY,零零花 ,PROD1,产品一部,2015-5-15 0:00,2016-1-18 0:00,170413
